dataset,model,overlap,run,old_auc,new_auc,old_ap,new_ap
congress-bills,thgn,0.34,1,0.995081947,0.996317303,0.993689491,0.995172511
congress-bills,thgn,0.34,2,0.99437398,0.99565047,0.992777836,0.994258328
congress-bills,thgn,0.34,3,0.994649915,0.995768738,0.993083407,0.994419999
congress-bills,thgn,0.34,4,0.987774711,0.990954865,0.983371749,0.987279433
congress-bills,thgn,0.5,1,0.983695114,0.989688469,0.974171011,0.982706509
congress-bills,thgn,0.5,2,0.985914432,0.989616781,0.97777782,0.982622097
congress-bills,thgn,0.5,3,0.985232465,0.989317843,0.976915568,0.982029418
congress-bills,thgn,0.5,4,0.984828739,0.989115911,0.976189574,0.981989993
congress-bills,thgn,0.67,1,0.978813987,0.984060051,0.967618439,0.974162955
congress-bills,thgn,0.67,2,0.98071434,0.984680455,0.969732366,0.975123154
congress-bills,thgn,0.67,3,0.978762155,0.983287245,0.967077857,0.972402135
congress-bills,thgn,0.67,4,0.980492689,0.984626258,0.969462008,0.974658327
congress-bills,thgn,0.75,1,0.950238651,0.960225463,0.935423425,0.945570415
congress-bills,thgn,0.75,2,0.974744883,0.979408556,0.961619392,0.96792874
congress-bills,thgn,0.75,3,0.972595736,0.97857021,0.958552244,0.965928614
congress-bills,thgn,0.75,4,0.975047337,0.979322136,0.96165004,0.966735275
congress-bills,thgn,0.99,1,0.952998854,0.9456433,0.934370982,0.924497211
congress-bills,thgn,0.99,2,0.94896147,0.940892819,0.928777336,0.917315214
congress-bills,thgn,0.99,3,0.946960806,0.939545529,0.927183792,0.917734907
congress-bills,thgn,0.99,4,0.952231598,0.945019572,0.93157759,0.921683968
congress-bills,tcen,0,1,0.981251204,0.988291181,0.967762861,0.979467807
congress-bills,tcen,0,2,0.980748072,0.988115747,0.965099245,0.977875746
congress-bills,tcen,0,3,0.979240378,0.985122497,0.964828572,0.975588193
congress-bills,tcen,0,4,0.961998897,0.972959516,0.943775287,0.959381634
congress-bills,tcen,0.25,1,0.957115513,0.961590144,0.941564996,0.952060574
congress-bills,tcen,0.25,2,0.973947008,0.980386921,0.954785636,0.964309704
congress-bills,tcen,0.25,3,0.946701097,0.960651554,0.914399324,0.933482691
congress-bills,tcen,0.25,4,0.948489333,0.960392929,0.913183136,0.931150189
congress-bills,tcen,0.34,1,0.966322576,0.973526513,0.945028082,0.954900159
congress-bills,tcen,0.34,2,0.968638198,0.970557232,0.954282041,0.96075028
congress-bills,tcen,0.34,3,0.968442155,0.974180401,0.951604393,0.959726487
congress-bills,tcen,0.34,4,0.971959592,0.978181982,0.954462456,0.963924174
congress-bills,tcen,0.5,1,0.855542271,0.888468285,0.778095277,0.832442296
congress-bills,tcen,0.5,2,0.82728851,0.884036445,0.744942429,0.810682444
